"Experiment Name"	"Analysis Name"	Included	Position	"SampleName"	CrossingPoint	Concentration	Standard	"StatusCodes"	"StatusDesc"	Call	CpUncertain	CpState	CalcConcUncertain
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A1	"Day0_Gapdh"	14.2520551171164	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A2	"Day0_Gapdh"	13.9466462766537	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A3	"Day2_Gapdh"	10.9223865409105	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A4	"Day2_Gapdh"	10.9404580215263	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A5	"Day4_Gapdh"	14.4981674902097	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A6	"Day4_Gapdh"	14.4849747779952	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A7	"Day6_Gapdh"	13.8732106053797	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A8	"Day6_Gapdh"	13.9499873399153	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A9	"Day8_Gapdh"	13.8382264208205	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"Ruben_test23.04.10"	"Abs Quant/Fit Points for All Samples"	1	A10	"Day8_Gapdh"	13.5608578369736	 	 	" "	" "	pdcPositive	0	cpsNormal	0
