"Experiment Name"	"Analysis Name"	Included	Position	"SampleName"	CrossingPoint	Concentration	Standard	"StatusCodes"	"StatusDesc"	Call	CpUncertain	CpState	CalcConcUncertain
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A1	"mix oct4_smad1"	20.4231184085534	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A2	"mix oct4_smad1"	22.6127175131559	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A3	"mix oct4_smad1"	24.895921535208	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A4	"mix oct4_smad1"	27.0116409605338	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A5	"mix oct4_smad1"	29.6891003084666	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A6	"mix oct4_smad5"	21.7159306618856	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A7	"mix oct4_smad5"	23.8714017025962	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A8	"mix oct4_smad5"	26.3418095276728	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A9	"mix oct4_smad5"	28.5896770731102	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A10	"mix oct4_smad5"	30.7842393449223	 	 	" "	" "	pdcPositive	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A11	"blanco_smad1"	 	 	 	" "	" "	pdcNegative	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	A12	"blanco_smad5"	 	 	 	" "	" "	pdcNegative	0	cpsNormal	0
"KC_qPCR_primers_validation27.04.10"	"Abs Quant/2nd Derivative Max for All Samples"	1	B1	"mix oct4_smad1"	20.2984494673085	 	 	" "	" "	pdcPositive	0	cpsNormal	0
