Exported RQ Study Sample Summary and Well Information,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Document Name: Plate1 ,,,,,,,,,,,,,,,,,,,,,
Plate Type: Relative Quantification Study,,,,,,,,,,,,,,,,,,,,,
User: rjm503,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Document Information,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Operator: rjm503,,,,,,,,,,,,,,,,,,,,,
Last Modified: ,,,,,,,,,,,,,,,,,,,,,
Instrument Type: Applied Biosystems 7000 Real-Time PCR System,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,,,,,,
SDS v1.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Thermal Cycler Profile,,,,,,,,,,,,,,,,,,,,,
Stage,Repetitions,Temperature,Time,Ramp Rate,Auto Increment,,,,,,,,,,,,,,,,
1,1,50.0 °C,02:00,Auto,,,,,,,,,,,,,,,,,
2,1,95.0 °C,10:00,Auto,,,,,,,,,,,,,,,,,
3,40,95.0 °C,00:15,Auto,,,,,,,,,,,,,,,,,
,,60.0 °C,01:00,Auto,,,,,,,,,,,,,,,,,
9600 Mode Emulation,,,,,,,,,,,,,,,,,,,,,
Data Collection :  Stage 3 Step 1,,,,,,,,,,,,,,,,,,,,,
PCR Volume: 25 µL,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Calibrator, CMO,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Endogenous Control, EndogControl,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Plate,Well ID,Well,Sample,Detector,Task,Ct,Ct std err,Avg Ct,Avg dCt,dCt std err,ddCt,RQ,RQ min,RQ max,Omit,Filtered,Threshold,Auto Ct,Baseline,Start,End
,,,,,,,,,,,,,,,,,,,,,
MyoD AMO run data St11 plate,61,F1,CMO St11,Gene1,Target,29.233,0.019,29.242,,,,,,,,,0.387662,Auto,Auto,1,23
MyoD AMO run data St11 plate,62,F2,CMO St11,Gene1,Target,29.279,0.019,29.242,,,,,,,,,0.387662,Auto,Auto,1,23
MyoD AMO run data St11 plate,63,F3,CMO St11,Gene1,Target,29.214,0.019,29.242,,,,,,,,,0.387662,Auto,Auto,1,23
MyoD AMO run data St11 plate,64,F4,AMO 1030,Gene1,Target,28.377,0.024,28.354,5.215,0.096,,,,,,,0.387662,Auto,Auto,1,22
MyoD AMO run data St11 plate,65,F5,AMO 1030,Gene1,Target,28.379,0.024,28.354,5.215,0.096,,,,,,,0.387662,Auto,Auto,1,22
MyoD AMO run data St11 plate,66,F6,AMO 1030,Gene1,Target,28.306,0.024,28.354,5.215,0.096,,,,,,,0.387662,Auto,Auto,1,23
MyoD AMO run data St11 plate,67,F7,AMO 2060,Gene1,Target,28.978,0.044,28.946,6.477,0.268,,,,,,,0.387662,Auto,Auto,1,23
MyoD AMO run data St11 plate,68,F8,AMO 2060,Gene1,Target,28.86,0.044,28.946,6.477,0.268,,,,,,,0.387662,Auto,Auto,1,23
MyoD AMO run data St11 plate,69,F9,AMO 2060,Gene1,Target,29,0.044,28.946,6.477,0.268,,,,,,,0.387662,Auto,Auto,1,23
MyoD AMO run data St11 plate,89,H5,NTC,Gene1,Target,Undet.,,,,,,,,,,,0.387662,Auto,Auto,1,26
MyoD AMO run data St11 plate,25,C1,CMO St11,Gene2,Target,29.262,0.096,29.302,,,,,,,,,0.233148,Auto,Auto,1,23
MyoD AMO run data St11 plate,26,C2,CMO St11,Gene2,Target,29.161,0.096,29.302,,,,,,,,,0.233148,Auto,Auto,1,23
MyoD AMO run data St11 plate,27,C3,CMO St11,Gene2,Target,29.484,0.096,29.302,,,,,,,,,0.233148,Auto,Auto,1,23
MyoD AMO run data St11 plate,28,C4,AMO 1030,Gene2,Target,26.278,0.111,26.114,2.975,0.145,,,,,,,0.233148,Auto,Auto,1,20
MyoD AMO run data St11 plate,29,C5,AMO 1030,Gene2,Target,25.902,0.111,26.114,2.975,0.145,,,,,,,0.233148,Auto,Auto,1,19
MyoD AMO run data St11 plate,30,C6,AMO 1030,Gene2,Target,26.162,0.111,26.114,2.975,0.145,,,,,,,0.233148,Auto,Auto,1,20
MyoD AMO run data St11 plate,31,C7,AMO 2060,Gene2,Target,26.027,0.269,25.609,3.14,0.377,,,,,,,0.233148,Auto,Auto,1,19
MyoD AMO run data St11 plate,32,C8,AMO 2060,Gene2,Target,25.107,0.269,25.609,3.14,0.377,,,,,,,0.233148,Auto,Auto,1,18
MyoD AMO run data St11 plate,33,C9,AMO 2060,Gene2,Target,25.693,0.269,25.609,3.14,0.377,,,,,,,0.233148,Auto,Auto,1,16
MyoD AMO run data St11 plate,87,H3,NTC,Gene2,Target,36,,36,-3.273,,,,,,,,0.233148,Auto,Auto,1,24
MyoD AMO run data St11 plate,73,G1,CMO St11,Gene3,Target,27,0.142,27.127,,,,,,,,,0.249436,Auto,Auto,1,22
MyoD AMO run data St11 plate,74,G2,CMO St11,Gene3,Target,27.41,0.142,27.127,,,,,,,,,0.249436,Auto,Auto,1,22
MyoD AMO run data St11 plate,75,G3,CMO St11,Gene3,Target,26.971,0.142,27.127,,,,,,,,,0.249436,Auto,Auto,1,21
MyoD AMO run data St11 plate,76,G4,AMO 1030,Gene3,Target,26.822,0.166,26.529,3.39,0.19,,,,,,,0.249436,Auto,Auto,1,22
MyoD AMO run data St11 plate,77,G5,AMO 1030,Gene3,Target,26.518,0.166,26.529,3.39,0.19,,,,,,,0.249436,Auto,Auto,1,21
MyoD AMO run data St11 plate,78,G6,AMO 1030,Gene3,Target,26.246,0.166,26.529,3.39,0.19,,,,,,,0.249436,Auto,Auto,1,21
MyoD AMO run data St11 plate,79,G7,AMO 2060,Gene3,Target,26.922,0.071,26.786,4.317,0.273,,,,,,,0.249436,Auto,Auto,1,22
MyoD AMO run data St11 plate,80,G8,AMO 2060,Gene3,Target,26.758,0.071,26.786,4.317,0.273,,,,,,,0.249436,Auto,Auto,1,21
MyoD AMO run data St11 plate,81,G9,AMO 2060,Gene3,Target,26.679,0.071,26.786,4.317,0.273,,,,,,,0.249436,Auto,Auto,1,21
MyoD AMO run data St11 plate,90,H6,NTC,Gene3,Target,Undet.,,,,,,,,,,,0.249436,Auto,Auto,1,26
